거래번호,계좌번호,고객번호,계좌유형,잔액_USD,개설일,거래금액_USD,transaction_amount_numeric,거래일시,도시,신용점수,가입일,date_logic_classification
TXND672NLZSU3PBZL,ACCSQMUED9NJ65L,CUS05D1O50UBZLQ,Savings,36456.52,2019-02-21 22:50:00,"$8,689.65",8689.65,2019-03-15 16:21:07,Gilbertside,670,2023-08-13 20:24:12,Account opened before customer signup
TXNJJODGBPHC8K57H,ACCSQMUED9NJ65L,CUS05D1O50UBZLQ,Savings,36456.52,2019-02-21 22:50:00,"$4,698.79",4698.79,2019-03-16 16:47:10,Gilbertside,670,2023-08-13 20:24:12,Account opened before customer signup
TXNF97IEUY2P83CFK,ACCJY129MMC9C9Z,CUS04BNYSHT7Z7M,Checking,114998.01,2019-03-13 17:07:00,$8.88,8.88,2019-03-21 07:15:56,North Tonyabury,408,2023-03-29 11:31:12,Account opened before customer signup
TXNYA4BR13SARH1NO,ACCSQMUED9NJ65L,CUS05D1O50UBZLQ,Savings,36456.52,2019-02-21 22:50:00,"$6,094.10",6094.1,2019-03-21 22:34:46,Gilbertside,670,2023-08-13 20:24:12,Account opened before customer signup
TXNGRCY0MJUNIDG39,ACC0OHKDAMOA9LI,CUS07FUOXZVGDLD,Checking,1203.58,2019-01-08 23:46:00,"$8,329.83",8329.83,2019-04-03 04:20:06,Rebeccatown,587,2023-09-23 21:57:29,Account opened before customer signup
TXNT2O9T14Q6TAZWR,ACCGPJ030AZKFHS,CUS04MWEV3YB1RZ,Checking,54925.25,2019-02-13 13:38:00,"$5,797.78",5797.78,2019-04-11 17:41:47,North Catherineside,774,2025-08-03 17:26:53,Account opened before customer signup
TXN20YCLACNKEUQUG,ACC0OHKDAMOA9LI,CUS07FUOXZVGDLD,Checking,1203.58,2019-01-08 23:46:00,"$5,403.52",5403.52,2019-04-12 12:23:43,Rebeccatown,587,2023-09-23 21:57:29,Account opened before customer signup
TXNFLIKV1YPUFJO2I,ACCSQMUED9NJ65L,CUS05D1O50UBZLQ,Savings,36456.52,2019-02-21 22:50:00,"$5,378.19",5378.19,2019-04-14 10:01:13,Gilbertside,670,2023-08-13 20:24:12,Account opened before customer signup
TXNANJ5GDHBLSLDWH,ACCY0F2GIO3Q3RX,CUS02YA7HZS3K1X,Checking,76802.18,2019-04-12 22:28:00,"$2,136.70",2136.7,2019-04-17 23:12:16,Pattersonland,704,2022-11-11 08:28:50,Account opened before customer signup
TXNBW2WDN9XSDMV4W,ACCSQMUED9NJ65L,CUS05D1O50UBZLQ,Savings,36456.52,2019-02-21 22:50:00,"$2,845.90",2845.9,2019-04-28 12:39:14,Gilbertside,670,2023-08-13 20:24:12,Account opened before customer signup
TXN4FMCIP5NSVX0ED,ACCD2XYMIEN1112,CUS03FNZTE5XXUG,Checking,44199.93,2019-02-05 11:54:00,"$1,374.30",1374.3,2019-05-09 03:47:20,West Michaelmouth,535,2021-02-01 16:14:26,Account opened before customer signup
