거래번호,계좌번호,고객번호,도시,신용점수,가입일,계좌유형,잔액_USD,개설일,거래금액_USD,transaction_amount_numeric,거래일시,days_from_opening_to_transaction,days_from_signup_to_opening,date_logic_classification
TXNEENMT4D7JLSTY4,ACCH1YWWW9TT0Q1,CUS023QWAFS5VB1,Ericberg,618,2025-10-15 07:39:21,Savings,81305.28,2021-08-04 04:22:00,"$2,252.75",2252.75,2019-01-01 20:00:47,-945.3480671296296,-1533.1370486111111,Transaction before account opening
TXN2A0Y7NP74BA27O,ACC9L0YFOK3RHVE,CUS06ATN1VYTMIM,North Thomasburgh,472,2021-08-03 09:12:32,Savings,105892.97,2025-06-28 00:10:00,"$8,951.99",8951.99,2019-01-02 07:34:07,-2368.6915856481482,1424.6232407407408,Transaction before account opening
TXNR4NBZYEE61YFUU,ACCNOQA1TLUOOJK,CUS02XUUA5FJTDT,East Amanda,534,2025-08-27 03:16:29,Savings,51956.67,2024-08-09 16:45:00,"$8,071.15",8071.15,2019-01-02 09:37:39,-2046.2967708333333,-382.4385300925926,Transaction before account opening
TXNJ86CGNF58EOWIF,ACCCZ9XRBCLMYTL,CUS04XM9H1NY7C3,North Bryanside,680,2020-08-04 21:08:19,Checking,190497.93,2024-12-18 18:31:00,"$8,343.86",8343.86,2019-01-02 21:59:10,-2176.855439814815,1596.8907523148148,Transaction before account opening
TXN88LF0AA9MXHU1W,ACC0UX0KXA1DMVO,CUS057W2O5OLDV9,Suarezhaven,414,2022-10-27 04:46:17,Business,48514.33,2023-12-17 20:23:00,"$2,567.15",2567.15,2019-01-03 06:53:21,-1809.5622569444445,416.6504976851852,Transaction before account opening
TXNQ4348QJ47Z50KF,ACCABIJVUXPJYDV,CUS06OWK6PSGQ99,New Elizabethfurt,355,2024-05-03 01:22:07,Business,112754.6,2021-02-25 09:40:00,"$2,519.64",2519.64,2019-01-04 08:20:42,-783.0550694444445,-1162.6542476851853,Transaction before account opening
TXNEA7VNL79QEHXV6,ACC9D3A53AABPVU,CUS05PXT6RIDLOF,Kington,310,2019-01-01 06:53:09,Checking,59629.27,2020-06-22 19:21:00,"$2,208.66",2208.66,2019-01-04 15:52:03,-535.1451041666667,538.5193402777778,Transaction before account opening
TXN17QQT7Z4S8YUSK,ACCO6VKLH0VOHNR,CUS03WXTJ3ISNIJ,East Russell,820,2020-02-21 19:10:23,Business,7644.72,2022-03-23 19:51:00,$321.13,321.13,2019-01-05 03:11:50,-1173.6938657407406,761.0282060185185,Transaction before account opening
TXN2LZ3A5CI8UQ2NG,ACCR0XUXB77CH7K,CUS04RTM317B1O2,Torresshire,403,2025-01-01 15:40:27,Savings,24356.47,2022-03-10 20:06:00,"$8,395.34",8395.34,2019-01-05 18:22:52,-1160.0716203703703,-1027.8155902777778,Transaction before account opening
TXNOYN8SQ6WXEGU98,ACCYSJXFIJJMMS4,CUS06WPX2CYOS0F,Jameshaven,331,2020-03-19 14:24:30,Business,54906.88,2024-12-06 01:42:00,"$6,013.63",6013.63,2019-01-05 22:07:29,-2161.1489699074073,1722.470486111111,Transaction before account opening
TXNNLF96RU6JCXHAL,ACCSQMUED9NJ65L,CUS05D1O50UBZLQ,Gilbertside,670,2023-08-13 20:24:12,Savings,36456.52,2019-02-21 22:50:00,"$2,996.30",2996.3,2019-01-06 01:52:47,-46.87306712962963,-1633.89875,Transaction before account opening
TXNDV8JNMBLU7GT91,ACCEQ52FFY3A3JQ,CUS0545GN77K5Y0,Phamchester,603,2024-05-06 18:53:57,Business,57645.86,2019-07-12 14:41:00,"$6,600.16",6600.16,2019-01-06 11:54:18,-187.1157638888889,-1760.1756597222222,Transaction before account opening
TXNMW2P3EVRAJ1O4V,ACCVM791CZOB5RM,CUS00J9HGARKDPW,Thomaston,357,2021-02-05 12:27:00,Checking,138879.91,2021-07-19 08:36:00,"$4,624.86",4624.86,2019-01-06 20:43:14,-924.4949768518519,163.83958333333334,Transaction before account opening
TXNXZ42WKL84Z47X1,ACCZGIB9XGCYM09,CUS07PADW7X8OSU,Gomezside,840,2023-06-18 09:00:27,Savings,81323.31,2020-12-20 05:28:00,"$2,861.14",2861.14,2019-01-07 00:41:50,-713.1987268518518,-910.1475347222222,Transaction before account opening
TXNJBTOWTHFN1PD6F,ACC56QGRRHIQOZ7,CUS070H98YJZ29M,East Robert,527,2019-10-21 02:11:03,Savings,137578.81,2021-08-29 12:00:00,"$3,040.87",3040.87,2019-01-07 02:12:50,-965.4077546296296,678.4089930555556,Transaction before account opening
TXN4LRMAL5RVIOQG9,ACCXK7JZ0R4JMER,CUS069XU8SO2HSM,New Paulmouth,723,2020-08-12 21:24:31,Savings,57084.45,2024-06-03 19:30:00,"$8,617.29",8617.29,2019-01-07 06:33:40,-1974.5391203703705,1390.920474537037,Transaction before account opening
TXNXAFF8WFEXYN5KR,ACC0G37K26FRLJV,CUS06GJM01CB6QM,Lesterfort,705,2022-07-16 13:23:48,Business,9637.61,2024-04-05 18:40:00,"$5,045.60",5045.6,2019-01-08 19:40:41,-1913.9578587962963,629.2195833333334,Transaction before account opening
TXNCF9DTNRVYW3KGD,ACCBVI86LDB3JH0,CUS02TWKCAITNWZ,Port Sydneyton,326,2025-06-13 10:26:05,Checking,165451.24,2024-01-27 13:37:00,"$4,501.77",4501.77,2019-01-09 06:34:48,-1844.2931944444445,-502.8674189814815,Transaction before account opening
TXNLDQMEC949R1ATE,ACCQX7Y9T6H40DH,CUS06GJM01CB6QM,Lesterfort,705,2022-07-16 13:23:48,Business,92849.74,2023-04-28 15:04:00,"$4,571.23",4571.23,2019-01-09 10:20:50,-1570.1966435185186,286.06958333333336,Transaction before account opening
TXNUUEX3YA63XBPB7,ACC5061JJEA3GJB,CUS02M2WDUDI2LY,Riceport,543,2023-03-10 18:02:27,Savings,77827.99,2025-11-13 06:28:00,$68.59,68.59,2019-01-09 12:08:36,-2499.7634722222224,978.5177430555556,Transaction before account opening
TXNIDBG24PTNIUZJC,ACCABIJVUXPJYDV,CUS06OWK6PSGQ99,New Elizabethfurt,355,2024-05-03 01:22:07,Business,112754.6,2021-02-25 09:40:00,"$7,735.63",7735.63,2019-01-09 19:59:59,-777.5694560185185,-1162.6542476851853,Transaction before account opening
TXN25S0YT32EKSKO1,ACC89B21SXOA39X,CUS014W2D1L6BZ2,Lisaton,747,2019-12-13 22:12:03,Savings,120575.61,2023-09-06 23:45:00,"$9,552.20",9552.2,2019-01-10 18:26:40,-1700.2210648148148,1363.0645486111111,Transaction before account opening
TXNU90I3LGZUYH2A3,ACCAO3UXW6ZH56U,CUS06B7IL4Z0GLX,East Ryan,819,2024-12-02 15:19:06,Savings,171424.37,2025-12-29 07:33:00,"$9,833.46",9833.46,2019-01-11 16:58:00,-2543.6076388888887,391.67631944444446,Transaction before account opening
TXNJD7P71DDWKKETS,ACCO9GIHCX03X2Q,CUS05SA9C2LTWI0,North Sarahstad,505,2025-01-28 13:55:21,Checking,80022.54,2020-12-09 12:40:00,"$2,900.86",2900.86,2019-01-12 02:59:39,-697.4030208333334,-1511.0523263888888,Transaction before account opening
TXN8KZZT5V5Z0IX51,ACC9GHDRVFTBLDU,CUS034XSF3J9F1Z,New Seanstad,344,2024-02-29 11:14:54,Checking,111129.89,2025-12-07 22:19:00,"$6,791.60",6791.6,2019-01-12 04:43:26,-2521.7330324074073,647.4611805555555,Transaction before account opening
TXNUC4OGJM77SJMKH,ACC5J1W0NINOLMN,CUS06GJM01CB6QM,Lesterfort,705,2022-07-16 13:23:48,Checking,191386.12,2019-07-27 16:33:00,"$8,682.48",8682.48,2019-01-12 21:50:29,-195.77952546296297,-1084.868611111111,Transaction before account opening
TXN62Y6X1IP7H61VV,ACCBL10JD3EBYQ5,CUS0523HF4DWECA,Blairstad,485,2022-08-12 06:51:00,Savings,87163.9,2020-07-09 10:09:00,"$6,599.35",6599.35,2019-01-13 21:58:00,-542.5076388888889,-763.8625,Transaction before account opening
TXN0V9Z2VGVYX7YY9,ACCLRFCWLTETJ1V,CUS071PGACQK4TH,New Jimmyland,373,2024-08-02 09:41:36,Savings,84762.97,2020-06-11 09:45:00,"$7,209.69",7209.69,2019-01-14 02:09:29,-514.3163310185186,-1512.9976388888888,Transaction before account opening
TXNQJGZAXEX9O9805,ACCOZFFTH7A6MMQ,CUS04F9UQH0AJ3X,Thomasfurt,450,2021-03-28 17:40:45,Checking,113867.32,2020-10-23 15:37:00,"$2,194.09",2194.09,2019-01-14 11:37:36,-648.16625,-156.0859375,Transaction before account opening
TXN8DO420PLFUZUVK,ACCL2DM15JX3CLS,CUS048CCZGG6JHS,Forbesbury,475,2023-01-24 06:46:39,Checking,117648.21,2024-04-06 09:28:00,"$7,821.10",7821.1,2019-01-14 17:29:25,-1908.6656828703703,438.1120486111111,Transaction before account opening
TXNC8FAA57XB0LWPM,ACCHKWVJ867T36S,CUS06I5245EHJZP,Harringtonland,524,2020-11-30 14:01:57,Savings,87335.69,2023-03-21 11:40:00,"$8,161.52",8161.52,2019-01-15 19:08:38,-1525.688449074074,840.9014236111111,Transaction before account opening
TXNIP2QABVJ53AWAV,ACCK0XZECSVLAF3,CUS03NRY873EHRS,Murrayshire,806,2021-09-28 13:26:41,Business,57348.84,2025-07-31 04:43:00,"$9,418.13",9418.13,2019-01-16 01:58:39,-2388.1141319444446,1401.6363310185186,Transaction before account opening
TXNF3KWBXYPND9H43,ACCFFBTA57W3RLD,CUS010D5XJQTVM2,Vasquezfurt,535,2023-10-20 17:13:18,Business,30733.19,2025-10-05 12:48:00,"$6,793.58",6793.58,2019-01-16 02:33:27,-2454.426770833333,715.8157638888889,Transaction before account opening
